10-20 20:10:48.671: E/AndroidRuntime(10612): FATAL EXCEPTION: main
10-20 20:10:48.671: E/AndroidRuntime(10612): Process: com.hoohaa.hoohaalauncher, PID: 10612
10-20 20:10:48.671: E/AndroidRuntime(10612): java.lang.NullPointerException: Attempt to invoke virtual method 'boolean android.graphics.Bitmap.isRecycled()' on a null object reference
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.graphics.Canvas.throwIfCannotDraw(Canvas.java:1281)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.GLES20Canvas.drawBitmap(GLES20Canvas.java:599)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at com.hoohaa.hoohaalauncher.AppItem.onDraw(AppItem.java:92)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:15249)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14185)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.widget.AbsListView.dispatchDraw(AbsListView.java:2603)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:15252)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.widget.AbsListView.draw(AbsListView.java:4110)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14185)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.support.v4.widget.DrawerLayout.drawChild(DrawerLayout.java:1229)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:15252)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14185)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14180)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14180)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14180)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14180)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:14977)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.draw(View.java:15252)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.widget.FrameLayout.draw(FrameLayout.java:598)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at com.android.internal.policy.impl.PhoneWindow$DecorView.draw(PhoneWindow.java:2650)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.updateDisplayListIfDirty(View.java:14185)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.View.getDisplayList(View.java:14207)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ThreadedRenderer.updateViewTreeDisplayList(ThreadedRenderer.java:273)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ThreadedRenderer.updateRootDisplayList(ThreadedRenderer.java:279)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ThreadedRenderer.draw(ThreadedRenderer.java:318)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewRootImpl.draw(ViewRootImpl.java:2560)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewRootImpl.performDraw(ViewRootImpl.java:2382)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:2012)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1084)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:5990)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:767)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.Choreographer.doCallbacks(Choreographer.java:580)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.Choreographer.doFrame(Choreographer.java:550)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:753)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.os.Handler.handleCallback(Handler.java:739)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.os.Handler.dispatchMessage(Handler.java:95)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.os.Looper.loop(Looper.java:135)
10-20 20:10:48.671: E/AndroidRuntime(10612): 	at android.app.ActivityThread.m
